trial_id,timestamp_ns,target_page,event,duration_ns,access_policy
1,599128512538,0,0,212,normal
2,599205986902,0,1,389888,normal
3,599277088516,0,0,264,normal
4,599353458929,0,0,274,normal
5,599429446878,0,0,321,normal
6,599506233430,0,0,542,normal
7,599573900892,0,1,273818,normal
8,599645597653,0,0,251,normal
9,599720453797,0,1,426845,normal
10,599797919935,0,1,518591,normal
11,599871500716,0,1,535230,normal
12,599943548517,0,1,502783,normal
13,600013895375,0,1,341597,normal
14,600084539550,0,1,369622,normal
15,600157165232,0,0,241,normal
16,600228167087,0,0,223,normal
17,600307792859,0,1,465884,normal
18,600380787883,0,1,537049,normal
19,600454327184,0,1,570628,normal
20,600530810175,0,0,308,normal
21,600608120988,0,1,285566,normal
22,600682801754,0,0,232,normal
23,600756218356,0,1,397474,normal
24,600832059941,0,0,269,normal
25,600911803252,0,0,348,normal
26,600982091525,0,1,440785,normal
27,601058178437,0,0,260,normal
28,601140099247,0,1,605825,normal
29,601214896505,0,1,342583,normal
30,601292768209,0,1,594662,normal
31,601363447418,0,1,520709,normal
32,601436998598,0,0,263,normal
33,601515060300,0,1,423042,normal
34,601586072548,0,0,225,normal
35,601657956705,0,1,521722,normal
36,601730363562,0,0,240,normal
37,601809993019,0,0,272,normal
38,601883180562,0,0,232,normal
39,601953473440,0,0,284,normal
40,602030618658,0,1,535005,normal
41,602107462304,0,0,273,normal
42,602181394315,0,1,486280,normal
43,602254133435,0,0,259,normal
44,602325850628,0,1,531047,normal
45,602399296266,0,1,540154,normal
46,602476377567,0,1,328336,normal
47,602554949189,0,0,279,normal
48,602628769300,0,0,243,normal
49,602705010504,0,1,360058,normal
50,602783347300,0,1,485684,normal
51,602865793648,0,0,332,normal
52,602941276198,0,0,281,normal
53,603019840361,0,1,624995,normal
54,603095110037,0,0,298,normal
55,603174692518,0,1,491664,normal
56,603252346274,0,0,216,normal
57,603328976008,0,0,245,normal
58,603408075379,0,0,297,normal
59,603482602876,0,1,550676,normal
60,603556600669,0,1,479545,normal
61,603627458655,0,0,527,normal
62,603700095779,0,0,250,normal
63,603776274203,0,0,488,normal
64,603848819116,0,0,284,normal
65,603920696751,0,0,285,normal
66,603995091456,0,1,399342,normal
67,604068331181,0,0,241,normal
68,604140566098,0,0,532,normal
69,604214263928,0,1,493923,normal
70,604287330375,0,1,532983,normal
71,604359442083,0,1,385966,normal
72,604436515892,0,0,224,normal
73,604514650084,0,1,374365,normal
74,604590020461,0,1,397120,normal
75,604665704722,0,0,227,normal
76,604747095907,0,0,296,normal
77,604827674443,0,1,455129,normal
78,604906655763,0,0,289,normal
79,604978902624,0,0,247,normal
80,605056801757,0,0,276,normal
81,605136518700,0,0,295,normal
82,605215343277,0,0,331,normal
83,605290589089,0,1,707964,normal
84,605366335503,0,0,332,normal
85,605449297958,0,0,308,normal
86,605527088568,0,1,378094,normal
87,605602192729,0,0,290,normal
88,605665310166,0,0,302,normal
89,605733265714,0,1,381475,normal
90,605805465282,0,0,190,normal
91,605871405083,0,1,287166,normal
92,605940705448,0,0,205,normal
93,606022436902,0,0,260,normal
94,606097937090,0,0,230,normal
95,606172487826,0,0,233,normal
96,606245389132,0,1,511248,normal
97,606318024509,0,1,350394,normal
98,606392213718,0,0,302,normal
99,606470545092,0,0,280,normal
100,606551222565,0,1,580678,normal
101,606627787189,0,1,619398,normal
102,606709735321,0,1,362070,normal
103,606787007520,0,0,272,normal
104,606867539525,0,0,328,normal
105,606943826356,0,1,567844,normal
106,607026517399,0,0,206,normal
107,607108676027,0,1,348332,normal
108,607181779018,0,0,288,normal
109,607260601248,0,1,407159,normal
110,607321950878,0,1,433597,normal
111,607400189514,0,0,285,normal
112,607487022835,0,0,207,normal
113,607556488924,0,1,558171,normal
114,607627582050,0,1,374984,normal
115,607703917140,0,1,582320,normal
116,607783427844,0,0,285,normal
117,607857903459,0,1,431053,normal
118,607924399457,0,0,249,normal
119,607999740674,0,1,605603,normal
120,608071514605,0,0,198,normal
121,608145024017,0,0,234,normal
122,608217834151,0,1,514397,normal
123,608284268018,0,1,495904,normal
124,608358730951,0,0,238,normal
125,608437803788,0,1,692584,normal
126,608511864032,0,1,468099,normal
127,608585523164,0,0,225,normal
128,608660981682,0,1,429555,normal
129,608738477412,0,0,227,normal
130,608818698009,0,1,317880,normal
131,608891264645,0,0,225,normal
132,608964855902,0,1,510753,normal
133,609042387434,0,1,487266,normal
134,609119825067,0,0,314,normal
135,609196500189,0,0,276,normal
136,609270617035,0,0,232,normal
137,609352376740,0,0,319,normal
138,609423335703,0,1,579611,normal
139,609498199700,0,0,288,normal
140,609575726671,0,0,313,normal
141,609649331740,0,0,301,normal
142,609719618983,0,0,220,normal
143,609796519876,0,1,292378,normal
144,609870938162,0,0,459,normal
145,609942217110,0,1,588803,normal
146,610017953387,0,0,252,normal
147,610090536556,0,0,308,normal
148,610164333709,0,0,267,normal
149,610238456002,0,1,480845,normal
150,610310927090,0,1,507142,normal
151,610381121822,0,0,272,normal
152,610463954036,0,1,410617,normal
153,610539551196,0,1,588313,normal
154,610609624654,0,1,525961,normal
155,610685862234,0,1,491367,normal
156,610761663104,0,1,521137,normal
157,610841007912,0,1,732314,normal
158,610915153919,0,0,307,normal
159,610994789157,0,0,314,normal
160,611072083527,0,1,392045,normal
161,611144461323,0,1,646927,normal
162,611222476415,0,0,285,normal
163,611294862620,0,1,474366,normal
164,611372547000,0,1,681238,normal
165,611449433681,0,0,314,normal
166,611522861070,0,1,409025,normal
167,611601258417,0,1,668389,normal
168,611671035354,0,1,598297,normal
169,611742894433,0,0,251,normal
170,611825202340,0,1,366868,normal
171,611903008999,0,1,426115,normal
172,611975402484,0,1,328360,normal
173,612046794860,0,1,282894,normal
174,612124025660,0,1,615419,normal
175,612199243674,0,0,269,normal
176,612273246338,0,0,413,normal
177,612348981733,0,1,418250,normal
178,612426769543,0,0,312,normal
179,612501834245,0,1,407511,normal
180,612579284206,0,0,291,normal
181,612656275715,0,1,552922,normal
182,612733129224,0,1,408847,normal
183,612815714125,0,1,405445,normal
184,612891330946,0,1,654089,normal
185,612965651161,0,1,479691,normal
186,613042897368,0,1,490763,normal
187,613125236004,0,1,563741,normal
188,613205707553,0,1,487081,normal
189,613275648263,0,1,421147,normal
190,613348721988,0,0,208,normal
191,613427646942,0,1,427058,normal
192,613497691810,0,1,463674,normal
193,613578474786,0,1,691003,normal
194,613650761778,0,0,259,normal
195,613722144542,0,1,291416,normal
196,613801608125,0,0,277,normal
197,613879909574,0,0,256,normal
198,613952387500,0,0,235,normal
199,614025889330,0,0,244,normal
200,614099444954,0,1,482098,normal
