Whole-file Monitor non-contamination check
Environment: Ubuntu 22.04.5 VM, kernel 5.15.0-1105-kvm, ext4
Target: /home/eviction/target.bin, 64 pages
No victim read between samples.

$ ./flush target.bin -1
page, time [s],  cache
0000, 0.000001509, 1
0001, 0.000003840, 1
0002, 0.000000597, 0
0003, 0.000000501, 0
0004, 0.000000446, 0
0005, 0.000000449, 0
0006, 0.000000433, 0
0007, 0.000000375, 0
0008, 0.000000433, 0
0009, 0.000000855, 0
0010, 0.000000434, 0
0011, 0.000000465, 0
0012, 0.000000394, 0
0013, 0.000000644, 0
0014, 0.000000477, 0
0015, 0.000000377, 0
0016, 0.000000532, 0
0017, 0.000000382, 0
0018, 0.000000452, 0
0019, 0.000000433, 0
0020, 0.000000437, 0
0021, 0.000000413, 0
0022, 0.000000391, 0
0023, 0.000000475, 0
0024, 0.000000408, 0
0025, 0.000000379, 0
0026, 0.000000397, 0
0027, 0.000000370, 0
0028, 0.000000387, 0
0029, 0.000000378, 0
0030, 0.000000387, 0
0031, 0.000000610, 0
0032, 0.000000412, 0
0033, 0.000000391, 0
0034, 0.000000380, 0
0035, 0.000000373, 0
0036, 0.000000441, 0
0037, 0.000000517, 0
0038, 0.000000523, 0
0039, 0.000000439, 0
0040, 0.000000382, 0
0041, 0.000000381, 0
0042, 0.000000376, 0
0043, 0.000000373, 0
0044, 0.000000387, 0
0045, 0.000000369, 0
0046, 0.000000366, 0
0047, 0.000000375, 0
0048, 0.000000371, 0
0049, 0.000000374, 0
0050, 0.000000368, 0
0051, 0.000000374, 0
0052, 0.000000493, 0
0053, 0.000000676, 0
0054, 0.000000500, 0
0055, 0.000000391, 0
0056, 0.000000432, 0
0057, 0.000000370, 0
0058, 0.000000445, 0
0059, 0.000000437, 0
0060, 0.000000446, 0
0061, 0.000000447, 0
0062, 0.000000410, 0
0063, 0.000000485, 0

exit=0

$ ./monitor-preadv2 target.bin -1  # idle 1
page, cache
0000,   0
0001,   0
0002,   0
0003,   0
0004,   0
0005,   0
0006,   0
0007,   0
0008,   0
0009,   0
0010,   0
0011,   0
0012,   0
0013,   0
0014,   0
0015,   0
0016,   0
0017,   0
0018,   0
0019,   0
0020,   0
0021,   0
0022,   0
0023,   0
0024,   0
0025,   0
0026,   0
0027,   0
0028,   0
0029,   0
0030,   0
0031,   0
0032,   0
0033,   0
0034,   0
0035,   0
0036,   0
0037,   0
0038,   0
0039,   0
0040,   0
0041,   0
0042,   0
0043,   0
0044,   0
0045,   0
0046,   0
0047,   0
0048,   0
0049,   0
0050,   0
0051,   0
0052,   0
0053,   0
0054,   0
0055,   0
0056,   0
0057,   0
0058,   0
0059,   0
0060,   0
0061,   0
0062,   0
0063,   0

Total: 64
In cache: 0

exit=0

$ ./monitor-preadv2 target.bin -1  # idle 2
page, cache
0000,   0
0001,   0
0002,   0
0003,   0
0004,   0
0005,   0
0006,   0
0007,   0
0008,   0
0009,   0
0010,   0
0011,   0
0012,   0
0013,   0
0014,   0
0015,   0
0016,   0
0017,   0
0018,   0
0019,   0
0020,   0
0021,   0
0022,   0
0023,   0
0024,   0
0025,   0
0026,   0
0027,   0
0028,   0
0029,   0
0030,   0
0031,   0
0032,   0
0033,   0
0034,   0
0035,   0
0036,   0
0037,   0
0038,   0
0039,   0
0040,   0
0041,   0
0042,   0
0043,   0
0044,   0
0045,   0
0046,   0
0047,   0
0048,   0
0049,   0
0050,   0
0051,   0
0052,   0
0053,   0
0054,   0
0055,   0
0056,   0
0057,   0
0058,   0
0059,   0
0060,   0
0061,   0
0062,   0
0063,   0

Total: 64
In cache: 0

exit=0

$ ./monitor-preadv2 target.bin -1  # idle 3
page, cache
0000,   0
0001,   0
0002,   0
0003,   0
0004,   0
0005,   0
0006,   0
0007,   0
0008,   0
0009,   0
0010,   0
0011,   0
0012,   0
0013,   0
0014,   0
0015,   0
0016,   0
0017,   0
0018,   0
0019,   0
0020,   0
0021,   0
0022,   0
0023,   0
0024,   0
0025,   0
0026,   0
0027,   0
0028,   0
0029,   0
0030,   0
0031,   0
0032,   0
0033,   0
0034,   0
0035,   0
0036,   0
0037,   0
0038,   0
0039,   0
0040,   0
0041,   0
0042,   0
0043,   0
0044,   0
0045,   0
0046,   0
0047,   0
0048,   0
0049,   0
0050,   0
0051,   0
0052,   0
0053,   0
0054,   0
0055,   0
0056,   0
0057,   0
0058,   0
0059,   0
0060,   0
0061,   0
0062,   0
0063,   0

Total: 64
In cache: 0

exit=0


