mode,state,trial,classify_ns,cleanup_ns,full_cycle_ns,polls,cleanup_ok
reference,miss,0,939,26,965,0,1
reference,hit,0,495,1384,1879,0,1
reference,miss,1,242,23,265,0,1
reference,hit,1,299,488,787,0,1
reference,miss,2,187,16,203,0,1
reference,hit,2,272,496,768,0,1
reference,miss,3,206,16,222,0,1
reference,hit,3,274,468,742,0,1
reference,miss,4,197,17,214,0,1
reference,hit,4,280,553,833,0,1
reference,miss,5,204,16,220,0,1
reference,hit,5,327,512,839,0,1
reference,miss,6,189,17,206,0,1
reference,hit,6,288,472,760,0,1
reference,miss,7,204,17,221,0,1
reference,hit,7,277,477,754,0,1
reference,miss,8,189,16,205,0,1
reference,hit,8,272,451,723,0,1
reference,miss,9,206,16,222,0,1
reference,hit,9,278,448,726,0,1
reference,miss,10,189,17,206,0,1
reference,hit,10,259,440,699,0,1
reference,miss,11,214,16,230,0,1
reference,hit,11,280,444,724,0,1
reference,miss,12,188,16,204,0,1
reference,hit,12,262,451,713,0,1
reference,miss,13,214,16,230,0,1
reference,hit,13,268,463,731,0,1
reference,miss,14,203,16,219,0,1
reference,hit,14,260,468,728,0,1
reference,miss,15,226,17,243,0,1
reference,hit,15,267,441,708,0,1
reference,miss,16,188,17,205,0,1
reference,hit,16,261,441,702,0,1
reference,miss,17,208,16,224,0,1
reference,hit,17,269,437,706,0,1
reference,miss,18,190,17,207,0,1
reference,hit,18,260,464,724,0,1
reference,miss,19,214,17,231,0,1
reference,hit,19,526,870,1396,0,1
reference,miss,20,188,17,205,0,1
reference,hit,20,287,578,865,0,1
reference,miss,21,202,17,219,0,1
reference,hit,21,263,506,769,0,1
reference,miss,22,190,17,207,0,1
reference,hit,22,337,665,1002,0,1
reference,miss,23,209,17,226,0,1
reference,hit,23,268,492,760,0,1
reference,miss,24,191,17,208,0,1
reference,hit,24,267,483,750,0,1
reference,miss,25,208,16,224,0,1
reference,hit,25,264,481,745,0,1
reference,miss,26,194,18,212,0,1
reference,hit,26,277,487,764,0,1
reference,miss,27,213,18,231,0,1
reference,hit,27,286,509,795,0,1
reference,miss,28,200,18,218,0,1
reference,hit,28,393,740,1133,0,1
reference,miss,29,220,17,237,0,1
reference,hit,29,335,611,946,0,1
reference,miss,30,211,17,228,0,1
reference,hit,30,275,508,783,0,1
reference,miss,31,228,17,245,0,1
reference,hit,31,355,694,1049,0,1
reference,miss,32,205,17,222,0,1
reference,hit,32,282,523,805,0,1
reference,miss,33,216,17,233,0,1
reference,hit,33,280,486,766,0,1
reference,miss,34,200,18,218,0,1
reference,hit,34,285,484,769,0,1
reference,miss,35,226,18,244,0,1
reference,hit,35,290,512,802,0,1
reference,miss,36,207,17,224,0,1
reference,hit,36,295,490,785,0,1
reference,miss,37,219,17,236,0,1
reference,hit,37,285,492,777,0,1
reference,miss,38,204,17,221,0,1
reference,hit,38,283,502,785,0,1
reference,miss,39,226,17,243,0,1
reference,hit,39,291,499,790,0,1
reference,miss,40,206,17,223,0,1
reference,hit,40,288,535,823,0,1
reference,miss,41,225,17,242,0,1
reference,hit,41,318,565,883,0,1
reference,miss,42,208,17,225,0,1
reference,hit,42,267,466,733,0,1
reference,miss,43,207,17,224,0,1
reference,hit,43,266,471,737,0,1
reference,miss,44,191,17,208,0,1
reference,hit,44,268,468,736,0,1
reference,miss,45,203,17,220,0,1
reference,hit,45,270,467,737,0,1
reference,miss,46,191,17,208,0,1
reference,hit,46,276,472,748,0,1
reference,miss,47,207,17,224,0,1
reference,hit,47,269,467,736,0,1
reference,miss,48,194,16,210,0,1
reference,hit,48,267,482,749,0,1
reference,miss,49,203,17,220,0,1
reference,hit,49,269,463,732,0,1
reference,miss,50,194,16,210,0,1
reference,hit,50,275,468,743,0,1
reference,miss,51,209,18,227,0,1
reference,hit,51,276,472,748,0,1
reference,miss,52,199,17,216,0,1
reference,hit,52,270,477,747,0,1
reference,miss,53,223,17,240,0,1
reference,hit,53,354,677,1031,0,1
reference,miss,54,196,17,213,0,1
reference,hit,54,274,510,784,0,1
reference,miss,55,215,19,234,0,1
reference,hit,55,271,502,773,0,1
reference,miss,56,200,17,217,0,1
reference,hit,56,281,515,796,0,1
reference,miss,57,215,18,233,0,1
reference,hit,57,286,515,801,0,1
reference,miss,58,196,18,214,0,1
reference,hit,58,274,475,749,0,1
reference,miss,59,231,17,248,0,1
reference,hit,59,287,481,768,0,1
reference,miss,60,200,18,218,0,1
reference,hit,60,276,493,769,0,1
reference,miss,61,216,18,234,0,1
reference,hit,61,288,475,763,0,1
reference,miss,62,199,18,217,0,1
reference,hit,62,284,487,771,0,1
reference,miss,63,220,18,238,0,1
reference,hit,63,292,474,766,0,1
reference,miss,64,207,17,224,0,1
reference,hit,64,337,572,909,0,1
reference,miss,65,215,18,233,0,1
reference,hit,65,287,499,786,0,1
reference,miss,66,204,17,221,0,1
reference,hit,66,267,477,744,0,1
reference,miss,67,204,18,222,0,1
reference,hit,67,268,500,768,0,1
reference,miss,68,195,18,213,0,1
reference,hit,68,269,468,737,0,1
reference,miss,69,221,17,238,0,1
reference,hit,69,267,499,766,0,1
reference,miss,70,193,16,209,0,1
reference,hit,70,272,468,740,0,1
reference,miss,71,206,17,223,0,1
reference,hit,71,271,455,726,0,1
reference,miss,72,190,17,207,0,1
reference,hit,72,283,483,766,0,1
reference,miss,73,217,18,235,0,1
reference,hit,73,282,515,797,0,1
reference,miss,74,201,18,219,0,1
reference,hit,74,293,482,775,0,1
reference,miss,75,212,18,230,0,1
reference,hit,75,353,651,1004,0,1
reference,miss,76,205,17,222,0,1
reference,hit,76,274,488,762,0,1
reference,miss,77,232,18,250,0,1
reference,hit,77,289,494,783,0,1
reference,miss,78,202,17,219,0,1
reference,hit,78,284,496,780,0,1
reference,miss,79,212,18,230,0,1
reference,hit,79,282,481,763,0,1
reference,miss,80,203,17,220,0,1
reference,hit,80,290,490,780,0,1
reference,miss,81,225,18,243,0,1
reference,hit,81,283,567,850,0,1
reference,miss,82,204,18,222,0,1
reference,hit,82,284,511,795,0,1
reference,miss,83,223,18,241,0,1
reference,hit,83,287,483,770,0,1
