trial_id,timestamp_ns,target_page,event,duration_ns,access_policy
1,614274003062,0,0,252,normal
2,614348112971,0,1,541563,normal
3,614429101303,0,0,332,normal
4,614503646355,0,0,263,normal
5,614581120667,0,0,285,normal
6,614658269953,0,0,262,normal
7,614736342331,0,1,649475,normal
8,614821591600,0,0,334,normal
9,614891315930,0,1,602864,normal
10,614964954077,0,1,636108,normal
11,615046038304,0,1,528293,normal
12,615127646011,0,1,461891,normal
13,615204687681,0,1,517641,normal
14,615278753197,0,1,529067,normal
15,615353648382,0,0,218,normal
16,615427393025,0,0,259,normal
17,615501220173,0,1,462120,normal
18,615578286705,0,1,549213,normal
19,615650604035,0,1,615560,normal
20,615722453113,0,0,270,normal
21,615800610884,0,1,266581,normal
22,615877176833,0,0,276,normal
23,615948889727,0,1,395414,normal
24,616029210637,0,0,321,normal
25,616107734916,0,0,272,normal
26,616183138718,0,1,431350,normal
27,616256446169,0,0,237,normal
28,616337949821,0,1,654131,normal
29,616410393687,0,1,395886,normal
30,616484307486,0,1,347382,normal
31,616559337600,0,1,372767,normal
32,616640750635,0,0,259,normal
33,616719660980,0,1,542530,normal
34,616800006767,0,0,493,normal
35,616879970899,0,1,449457,normal
36,616957239473,0,0,274,normal
37,617037051519,0,0,338,normal
38,617114311332,0,0,269,normal
39,617192420911,0,0,305,normal
40,617264944736,0,1,303175,normal
41,617346959071,0,0,480,normal
42,617422722841,0,1,506065,normal
43,617497095386,0,0,205,normal
44,617573004657,0,1,509522,normal
45,617643419373,0,1,550959,normal
46,617716174634,0,1,544726,normal
47,617792815577,0,0,237,normal
48,617867697046,0,0,245,normal
49,617940630363,0,1,504671,normal
50,618012639556,0,1,365691,normal
51,618086670882,0,0,263,normal
52,618160486210,0,0,268,normal
53,618233355669,0,1,551320,normal
54,618301164715,0,0,214,normal
55,618373914969,0,1,590947,normal
56,618449637771,0,0,293,normal
57,618529443658,0,0,275,normal
58,618603183411,0,0,248,normal
59,618677823021,0,1,516957,normal
60,618756368340,0,1,587314,normal
61,618834172772,0,0,285,normal
62,618915319827,0,0,289,normal
63,618991104982,0,0,246,normal
64,619068855692,0,0,323,normal
65,619144672299,0,0,365,normal
66,619220217542,0,1,405702,normal
67,619298509632,0,0,299,normal
68,619374071413,0,0,293,normal
69,619453242835,0,1,460377,normal
70,619527308971,0,1,627725,normal
71,619601342000,0,1,397811,normal
72,619673250462,0,0,253,normal
73,619745422892,0,1,488764,normal
74,619826583060,0,1,456352,normal
75,619897982220,0,0,239,normal
76,619967557203,0,0,223,normal
77,620040430338,0,1,396981,normal
78,620115278014,0,0,274,normal
79,620187264932,0,0,286,normal
80,620263548822,0,0,258,normal
81,620336401237,0,0,239,normal
82,620412963379,0,0,314,normal
83,620489537075,0,1,349459,normal
84,620564561417,0,0,326,normal
85,620635701957,0,0,253,normal
86,620715153548,0,1,399362,normal
87,620791831608,0,0,286,normal
88,620871735216,0,0,306,normal
89,620950414264,0,1,330937,normal
90,621027805298,0,0,290,normal
91,621106166596,0,1,574876,normal
92,621177274193,0,0,244,normal
93,621252505644,0,0,290,normal
94,621329699679,0,0,304,normal
95,621403968668,0,0,301,normal
96,621481708001,0,1,277271,normal
97,621558428147,0,1,472378,normal
98,621630265219,0,0,237,normal
99,621705734824,0,0,435,normal
100,621783862615,0,1,841243,normal
101,621865450951,0,1,600533,normal
102,621941127638,0,1,500506,normal
103,622018214842,0,0,283,normal
104,622091420210,0,0,252,normal
105,622166765281,0,1,347057,normal
106,622239368774,0,0,244,normal
107,622309878090,0,1,345513,normal
108,622383145719,0,0,259,normal
109,622460021399,0,1,559698,normal
110,622533936578,0,1,406454,normal
111,622610260254,0,0,546,normal
112,622687922138,0,0,258,normal
113,622771430529,0,1,579454,normal
114,622854016873,0,1,843568,normal
115,622931352402,0,1,631052,normal
116,623002128677,0,0,435,normal
117,623079497154,0,1,635535,normal
118,623160499782,0,0,291,normal
119,623236104232,0,1,446829,normal
120,623306250067,0,0,210,normal
121,623383971861,0,0,243,normal
122,623458959268,0,1,287604,normal
123,623532476654,0,1,437570,normal
124,623605815586,0,0,303,normal
125,623679258330,0,1,495133,normal
126,623749326291,0,1,494981,normal
127,623829533236,0,0,321,normal
128,623899976637,0,1,556463,normal
129,623968830710,0,0,264,normal
130,624041804786,0,1,302949,normal
131,624116369296,0,0,254,normal
132,624186671765,0,1,444617,normal
133,624257948909,0,1,437664,normal
134,624329752261,0,0,276,normal
135,624401777894,0,0,263,normal
136,624487883783,0,0,251,normal
137,624567571886,0,0,273,normal
138,624645759579,0,1,646107,normal
139,624724561752,0,0,316,normal
140,624806406076,0,0,304,normal
141,624875424547,0,0,232,normal
142,624958441298,0,0,316,normal
143,625041291200,0,1,573246,normal
144,625120407079,0,0,292,normal
145,625200159916,0,1,579807,normal
146,625272398126,0,0,254,normal
147,625348561072,0,0,265,normal
148,625425292394,0,0,539,normal
149,625501739522,0,1,550843,normal
150,625581587033,0,1,323128,normal
151,625653394526,0,0,232,normal
152,625727006467,0,1,356969,normal
153,625801021438,0,1,349585,normal
154,625876361217,0,1,516461,normal
155,625949610794,0,1,234867,normal
156,626021041493,0,1,474230,normal
157,626098182304,0,1,529958,normal
158,626168412885,0,0,201,normal
159,626245768251,0,0,295,normal
160,626324401533,0,1,540915,normal
161,626404309945,0,1,281312,normal
162,626484915932,0,0,286,normal
163,626569242708,0,1,494581,normal
164,626642075333,0,1,250652,normal
165,626721090611,0,0,331,normal
166,626799294510,0,1,385498,normal
167,626886639213,0,1,486000,normal
168,626952864853,0,1,320834,normal
169,627027286614,0,0,208,normal
170,627097091749,0,1,334644,normal
171,627164000184,0,1,539847,normal
172,627254733542,0,1,456190,normal
173,627327575172,0,1,620410,normal
174,627406832938,0,1,442014,normal
175,627484090791,0,0,304,normal
176,627560509097,0,0,272,normal
177,627635048791,0,1,337660,normal
178,627707050899,0,0,241,normal
179,627784307161,0,1,529563,normal
180,627861207520,0,0,213,normal
181,627933924744,0,1,532129,normal
182,628005118198,0,1,615416,normal
183,628077591015,0,1,674636,normal
184,628150871063,0,1,480847,normal
185,628221877178,0,1,517443,normal
186,628294372082,0,1,458637,normal
187,628367738817,0,1,410814,normal
188,628443139043,0,1,505154,normal
189,628518611099,0,1,256096,normal
190,628586762911,0,0,180,normal
191,628673360731,0,1,689476,normal
192,628755094289,0,1,612348,normal
193,628835713431,0,1,675259,normal
194,628909936488,0,0,310,normal
195,628987346251,0,1,536468,normal
196,629060073953,0,0,451,normal
197,629138940956,0,0,288,normal
198,629217026610,0,0,327,normal
199,629290830690,0,0,208,normal
200,629366366564,0,1,525896,normal
