mode,kernel,interval_us,trial_id,event,prediction,flush_start_ns,flush_end_ns,event_start_ns,monitor_start_ns,cleanup_end_ns,baseline_check_start_ns,baseline_check_end_ns,baseline_cached,cleanup_cached,attacker_error,victim_error,validator_error
dontcache,7.2.0-flushmon,825,1,0,0,443474461142,443474468955,443476422378,443477235427,443477716473,443475447955,443475456918,0,0,0,0,0
dontcache,7.2.0-flushmon,825,2,1,1,443479975229,443479976326,443481947614,443482879213,443483183280,443480962191,443480968469,0,0,0,0,0
dontcache,7.2.0-flushmon,825,3,1,1,443485501863,443485506836,443487455062,443488255916,443488306426,443486450670,443486463437,0,0,0,0,0
dontcache,7.2.0-flushmon,825,4,1,1,443490647327,443490652308,443492518984,443493327016,443493411699,443491519284,443491531472,0,0,0,0,0
dontcache,7.2.0-flushmon,825,5,1,1,443495612519,443495613359,443497617118,443498410399,443498470189,443496619183,443496621071,0,0,0,0,0
dontcache,7.2.0-flushmon,825,6,1,1,443500651982,443500652709,443502654015,443503445015,443503475620,443501650929,443501652513,0,0,0,0,0
dontcache,7.2.0-flushmon,825,7,1,1,443505679343,443505680083,443507673974,443508468490,443508514469,443506673407,443506675003,0,0,0,0,0
dontcache,7.2.0-flushmon,825,8,1,1,443510711203,443510711817,443512708628,443513503763,443513558727,443511716987,443511718634,0,0,0,0,0
dontcache,7.2.0-flushmon,825,9,0,0,443515729717,443515730747,443517730367,443518554356,443519035344,443516729500,443516732867,0,0,0,0,0
dontcache,7.2.0-flushmon,825,10,0,0,443521276258,443521277645,443523245771,443524068561,443524409349,443522243137,443522245628,0,0,0,0,0
dontcache,7.2.0-flushmon,825,11,1,1,443526714484,443526715170,443528716244,443529499993,443529535567,443527707750,443527710631,0,0,0,0,0
dontcache,7.2.0-flushmon,825,12,1,1,443531748341,443531749640,443533741925,443534721478,443534807177,443532728491,443532732337,0,0,0,0,0
dontcache,7.2.0-flushmon,825,13,1,1,443537100368,443537105093,443539038123,443539885724,443539949119,443538060395,443538074641,0,0,0,0,0
dontcache,7.2.0-flushmon,825,14,0,0,443542295316,443542296186,443544266409,443545088997,443545543832,443543261151,443543264763,0,0,0,0,0
dontcache,7.2.0-flushmon,825,15,1,1,443548026376,443548027712,443550036128,443550846636,443550897161,443549018972,443549021027,0,0,0,0,0
dontcache,7.2.0-flushmon,825,16,0,0,443553146148,443553146949,443555122933,443555944455,443556392530,443554120909,443554123496,0,0,0,0,0
dontcache,7.2.0-flushmon,825,17,0,0,443558786164,443558796071,443560780426,443561602832,443562051297,443559777903,443559781768,0,0,0,0,0
dontcache,7.2.0-flushmon,825,18,1,1,443564315439,443564316738,443566289402,443567113501,443567227058,443565292982,443565297930,0,0,0,0,0
dontcache,7.2.0-flushmon,825,19,1,1,443569441504,443569442858,443571441749,443572228370,443572330267,443570439508,443570441905,0,0,0,0,0
dontcache,7.2.0-flushmon,825,20,0,0,443574536959,443574537792,443576511304,443577364462,443577734565,443575532866,443575535449,0,0,0,0,0
dontcache,7.2.0-flushmon,825,21,0,0,443579971175,443579972417,443582034152,443582815929,443583416888,443580972992,443580976395,0,0,0,0,0
dontcache,7.2.0-flushmon,825,22,0,0,443585803031,443585803705,443587823841,443588644331,443589192021,443586802025,443586803543,0,0,0,0,0
