trial_id,event_start_ns,event,error
1,227533634440,0,0
2,227539422509,1,0
3,227544546287,1,0
4,227549618635,1,0
5,227554684504,1,0
6,227559783547,1,0
7,227564859593,1,0
8,227569862560,1,0
9,227574898499,0,0
10,227580585857,0,0
11,227586289084,1,0
12,227591486169,1,0
13,227596644762,1,0
14,227601693620,0,0
15,227607433991,1,0
16,227612666653,0,0
17,227618470660,0,0
18,227623954056,1,0
19,227629045302,1,0
20,227634111831,0,0
21,227639686835,0,0
22,227645298549,0,0
23,227651034573,1,0
24,227656328818,0,0
25,227661583481,0,0
26,227667538640,0,0
27,227673155596,0,0
28,227678797659,0,0
29,227684497580,1,0
30,227689639320,1,0
31,227694796154,1,0
32,227699923918,1,0
33,227704988769,0,0
34,227710727508,1,0
35,227716022246,1,0
36,227721716015,1,0
37,227726771119,0,0
38,227732416921,0,0
39,227738537924,0,0
40,227744342312,1,0
41,227749500145,1,0
42,227754679150,0,0
43,227760235746,0,0
44,227765977859,0,0
45,227771532173,1,0
46,227776855154,0,0
47,227782606166,0,0
48,227788150602,1,0
49,227793225985,0,0
50,227798732426,0,0
51,227804220265,0,0
52,227809803305,1,0
53,227815026999,1,0
54,227820032977,0,0
55,227825692783,0,0
56,227831093067,0,0
57,227836757923,0,0
58,227842659760,0,0
59,227848694471,1,0
60,227853835751,0,0
61,227859403222,0,0
62,227865063800,0,0
63,227870722953,1,0
64,227875839835,1,0
65,227880919489,1,0
66,227886051374,1,0
67,227891227505,1,0
68,227896273116,1,0
69,227901487266,1,0
70,227906640462,0,0
71,227912304100,0,0
72,227917753035,1,0
73,227923026682,0,0
74,227928425340,0,0
75,227934068970,1,0
76,227939120701,1,0
77,227944208123,0,0
78,227949947323,1,0
79,227954885414,0,0
80,227960335695,1,0
81,227965420883,0,0
82,227970712771,0,0
83,227976069800,0,0
84,227981747599,0,0
85,227987013532,0,0
86,227992374433,0,0
87,227997869527,0,0
88,228003269616,1,0
89,228008311767,0,0
90,228013947635,1,0
91,228019152226,1,0
92,228024580409,0,0
93,228030155445,0,0
94,228035692454,0,0
95,228041143533,0,0
96,228046757669,0,0
97,228052383331,1,0
98,228057610086,0,0
99,228063275836,1,0
100,228068541724,1,0
101,228073653189,1,0
102,228078835312,1,0
103,228083926770,0,0
104,228089630209,1,0
105,228094918510,1,0
106,228099995309,0,0
107,228105471546,1,0
108,228110711640,1,0
109,228115784656,1,0
110,228120870151,1,0
111,228125929920,0,0
112,228131590675,0,0
113,228137223408,0,0
114,228142893030,1,0
115,228148133303,1,0
116,228153114843,1,0
117,228158261492,0,0
118,228164037691,1,0
119,228169213634,1,0
120,228174282230,0,0
121,228179934293,0,0
122,228185244510,1,0
123,228190298161,0,0
124,228195846943,0,0
125,228201319380,0,0
126,228206869776,1,0
127,228211995259,1,0
128,228217069452,1,0
129,228222203268,0,0
130,228227978898,1,0
131,228232950456,1,0
132,228238093361,1,0
133,228243232924,1,0
134,228248281836,0,0
135,228253623110,0,0
136,228258876865,1,0
137,228263958710,0,0
138,228269250520,1,0
139,228274250286,0,0
140,228279715568,1,0
141,228284795488,1,0
142,228289861344,0,0
143,228295395621,0,0
144,228300863580,1,0
145,228305885281,0,0
146,228311382090,1,0
147,228316446102,0,0
148,228322120709,0,0
149,228327765247,0,0
150,228333261763,1,0
151,228338457118,1,0
152,228343649979,1,0
153,228348712073,1,0
154,228353774236,1,0
155,228358847341,1,0
156,228363892297,1,0
157,228368973360,1,0
158,228374134028,1,0
159,228379237511,1,0
160,228384285770,0,0
161,228389702576,1,0
162,228394725908,0,0
163,228400188484,1,0
164,228405182591,0,0
165,228410449181,1,0
166,228415458735,1,0
167,228420476502,0,0
168,228425735195,1,0
169,228430762789,1,0
170,228435857733,1,0
171,228441071422,0,0
172,228446748247,1,0
173,228451813663,1,0
174,228456957477,0,0
175,228462536827,0,0
176,228468055821,1,0
177,228473120729,1,0
178,228478200310,0,0
179,228483997566,0,0
180,228489514869,1,0
181,228494667753,1,0
182,228499720520,1,0
183,228504764552,0,0
184,228510188621,1,0
185,228515214862,0,0
186,228520725601,1,0
187,228525791201,0,0
188,228531229049,0,0
189,228536644073,0,0
190,228542097012,1,0
191,228547141882,1,0
192,228552183666,1,0
193,228557208674,0,0
194,228562690736,0,0
195,228568148450,0,0
196,228573571989,1,0
197,228578654728,0,0
198,228583959894,1,0
199,228589017123,1,0
200,228594075462,0,0
201,228599491978,0,0
202,228604871655,1,0
203,228609916279,0,0
204,228615460195,0,0
205,228620867645,0,0
206,228626223372,0,0
207,228631475486,1,0
208,228636559026,1,0
209,228641634894,0,0
210,228647105885,0,0
211,228652587391,1,0
212,228657648035,0,0
213,228663161576,1,0
214,228668245646,0,0
215,228673596701,1,0
216,228678646693,0,0
217,228683884265,0,0
218,228689455616,0,0
219,228694765862,1,0
220,228699803954,1,0
221,228704884769,0,0
222,228710336496,0,0
223,228715777719,1,0
224,228720864593,0,0
225,228726270355,0,0
226,228731800393,0,0
227,228737099994,0,0
228,228742548913,1,0
229,228747640573,0,0
230,228753120981,0,0
231,228758648339,1,0
232,228763673590,1,0
233,228768773602,0,0
234,228774256888,0,0
235,228779759769,0,0
236,228785208305,1,0
237,228790258983,0,0
238,228795825880,1,0
239,228800890050,0,0
240,228806358360,1,0
241,228811401300,0,0
242,228816798070,0,0
243,228822209883,0,0
244,228827644374,1,0
245,228832687119,1,0
246,228837803206,0,0
247,228843271547,0,0
248,228848797512,1,0
249,228853925948,0,0
250,228859663906,0,0
251,228865599008,0,0
252,228871699441,0,0
253,228877562049,0,0
254,228883561379,0,0
255,228889476801,1,0
256,228894527747,1,0
257,228899553347,0,0
258,228905014934,0,0
259,228910602033,1,0
260,228915711720,0,0
261,228921236805,1,0
262,228926253697,0,0
263,228931877660,1,0
264,228936905610,0,0
265,228942503459,0,0
266,228948016936,1,0
267,228953128919,0,0
268,228958716865,1,0
269,228963721681,0,0
270,228969126550,0,0
271,228974584968,1,0
272,228979652864,1,0
273,228984684182,1,0
274,228989772011,0,0
275,228995135384,1,0
276,229000162170,0,0
277,229005911518,1,0
278,229011033639,0,0
279,229016878500,1,0
280,229022239025,1,0
281,229027643022,1,0
282,229032926973,0,0
283,229038623357,1,0
284,229043797079,0,0
285,229049279228,1,0
286,229054609778,0,0
287,229060186557,0,0
288,229065911921,0,0
289,229071534578,0,0
290,229077148577,1,0
291,229082462433,1,0
292,229087484233,1,0
293,229092551527,1,0
294,229097746290,1,0
295,229102788202,1,0
296,229107931563,0,0
297,229113646260,0,0
298,229119317365,1,0
299,229124551982,0,0
300,229130305723,1,0
301,229135806431,1,0
302,229140960704,1,0
303,229146181065,0,0
304,229151941233,1,0
305,229157116302,1,0
306,229162275115,1,0
307,229167464901,1,0
308,229172792217,0,0
309,229178579602,1,0
310,229183705255,0,0
311,229189333492,1,0
312,229194491944,1,0
313,229199681383,0,0
314,229204972918,1,0
315,229210031182,1,0
316,229215021742,1,0
317,229220128983,1,0
318,229225213364,1,0
319,229230288106,0,0
320,229235892180,0,0
321,229241471095,1,0
322,229246523890,0,0
323,229252219743,1,0
324,229257360145,1,0
325,229262542444,0,0
326,229268108984,1,0
327,229273387971,1,0
328,229278564565,0,0
329,229284164110,0,0
330,229289967649,1,0
331,229294978282,1,0
332,229300033054,1,0
333,229305115370,1,0
334,229310151198,1,0
335,229315266194,0,0
336,229321252924,0,0
337,229326978358,0,0
338,229332732349,1,0
339,229337922800,0,0
340,229343622227,0,0
341,229349575524,0,0
342,229355282391,0,0
343,229360939657,0,0
344,229366480489,1,0
345,229371595717,0,0
346,229377293398,1,0
347,229382346856,1,0
348,229387365640,1,0
349,229392316252,1,0
350,229397415624,0,0
351,229402913421,1,0
352,229407969686,1,0
353,229413101309,0,0
354,229418522891,1,0
355,229423721766,1,0
356,229428771293,1,0
357,229433848009,0,0
358,229439373185,1,0
359,229444395841,1,0
360,229449417087,0,0
361,229454827254,0,0
362,229460285974,0,0
363,229465670940,0,0
364,229471159214,0,0
365,229476485305,0,0
366,229481914036,1,0
367,229486981257,1,0
368,229492019360,0,0
369,229497431129,1,0
370,229502406073,0,0
371,229507790388,0,0
372,229513400192,0,0
373,229519273218,0,0
374,229524992730,0,0
375,229530495604,0,0
376,229536130028,0,0
377,229541755268,0,0
378,229547352150,1,0
379,229552494692,0,0
380,229558027362,0,0
381,229563554063,0,0
382,229569250416,1,0
383,229574777448,1,0
384,229579902195,0,0
385,229585673278,1,0
386,229590958721,0,0
387,229596736703,1,0
388,229602106391,1,0
389,229607705254,0,0
390,229613591408,1,0
391,229618693571,1,0
392,229623770466,0,0
393,229629460991,1,0
394,229634542548,1,0
395,229639624504,1,0
396,229644688618,0,0
397,229650172387,1,0
398,229655186999,1,0
399,229660218918,0,0
400,229665832089,1,0
401,229670887638,1,0
402,229675931742,1,0
403,229681012523,1,0
404,229686504848,0,0
405,229692136151,1,0
406,229697260777,0,0
407,229703044197,0,0
408,229708517853,1,0
409,229713720211,0,0
410,229719265068,1,0
411,229724386672,0,0
412,229730056096,0,0
413,229735911647,0,0
414,229741371681,1,0
415,229746542260,1,0
416,229751695042,1,0
417,229756805091,1,0
418,229761913127,0,0
419,229767524950,0,0
420,229773256218,0,0
421,229779034523,0,0
422,229784523116,1,0
423,229789815555,1,0
424,229794724128,1,0
425,229799985701,1,0
426,229805136109,1,0
427,229810255316,0,0
428,229815962493,1,0
429,229821183809,1,0
430,229826720572,1,0
431,229831680656,0,0
432,229837441545,1,0
433,229842593419,0,0
434,229848276486,0,0
435,229854053351,0,0
436,229859526202,0,0
437,229865147683,1,0
438,229870239856,0,0
439,229876034690,1,0
440,229880946275,0,0
441,229886801461,0,0
442,229892389010,0,0
443,229898097417,1,0
444,229903235920,1,0
445,229908300875,1,0
446,229913430619,0,0
447,229919064982,1,0
448,229923957404,1,0
449,229928981355,1,0
450,229934031718,1,0
451,229939159808,1,0
452,229944249739,0,0
453,229949601795,0,0
454,229954975708,1,0
455,229960112720,0,0
456,229965926189,1,0
457,229971095750,0,0
458,229976774486,1,0
459,229981853037,1,0
460,229986966931,0,0
461,229992613004,1,0
462,229997726954,1,0
463,230002796496,1,0
464,230007828155,0,0
465,230013209402,1,0
466,230018216495,1,0
467,230023279590,0,0
468,230029059073,1,0
469,230034084189,1,0
470,230039074146,1,0
471,230044183610,0,0
472,230049753341,1,0
473,230054826607,0,0
474,230060257595,1,0
475,230065451836,0,0
476,230071049867,1,0
477,230076287850,0,0
478,230081502993,0,0
479,230086742277,0,0
480,230092013104,1,0
481,230097166686,1,0
482,230102241751,0,0
483,230107673797,1,0
484,230112796559,0,0
485,230118367126,1,0
486,230123467204,1,0
487,230128523278,1,0
488,230133636105,1,0
489,230138740436,0,0
490,230144417549,1,0
491,230149584123,1,0
492,230154702258,1,0
493,230159799372,1,0
494,230164871158,1,0
495,230169936216,0,0
496,230175426666,1,0
497,230180464912,0,0
498,230185621965,1,0
499,230190737626,0,0
500,230196019328,1,0
501,230201170048,1,0
502,230206250991,0,0
503,230211511520,0,0
504,230216707752,0,0
505,230222031569,1,0
506,230227089824,1,0
507,230232136026,0,0
508,230237434129,1,0
509,230242858337,0,0
510,230248516183,0,0
511,230253989006,1,0
512,230259151080,1,0
513,230264484164,1,0
514,230269655462,1,0
515,230274846398,0,0
516,230280378712,1,0
517,230285561274,0,0
518,230291403803,1,0
519,230296532243,1,0
520,230301642075,1,0
521,230306697331,0,0
522,230312159039,1,0
523,230317181864,1,0
524,230322217389,1,0
525,230327222300,1,0
526,230332218193,1,0
527,230337233991,0,0
528,230342682587,1,0
529,230347784141,0,0
530,230353202426,0,0
531,230358641212,0,0
532,230364265107,0,0
533,230369797131,1,0
534,230374961244,1,0
535,230379945382,0,0
536,230385329842,1,0
537,230390515644,1,0
538,230395541509,1,0
539,230400598939,0,0
540,230406019542,1,0
541,230411206818,0,0
542,230416738343,1,0
543,230421812953,1,0
544,230426879929,1,0
545,230432033849,0,0
546,230437694129,1,0
547,230442806631,0,0
548,230448568785,1,0
549,230453699418,1,0
550,230458812140,1,0
551,230463943607,1,0
552,230469117433,1,0
553,230474436982,1,0
554,230479504597,0,0
555,230485090370,1,0
556,230490027740,1,0
557,230495094437,0,0
558,230500647021,1,0
559,230505683849,0,0
560,230511387435,0,0
561,230517092752,1,0
562,230522134485,0,0
563,230527666198,1,0
564,230532978796,0,0
565,230538252352,0,0
566,230543922306,0,0
567,230549565770,0,0
568,230555254371,0,0
569,230560948025,0,0
570,230566345548,0,0
571,230572234690,0,0
572,230577560721,0,0
573,230583268181,1,0
574,230588669729,1,0
575,230594034108,1,0
576,230599275864,1,0
577,230604491746,0,0
578,230610517577,0,0
579,230616202964,1,0
580,230621254896,0,0
581,230626809962,1,0
582,230631857019,0,0
583,230637259523,0,0
584,230642990836,1,0
585,230647947367,0,0
586,230653626813,0,0
587,230659552369,1,0
588,230664689946,1,0
589,230669748302,1,0
590,230674753917,0,0
591,230680305305,1,0
592,230685476843,1,0
593,230690671556,0,0
594,230696286249,0,0
595,230701778987,1,0
596,230707055540,1,0
597,230712436754,0,0
598,230718090562,0,0
599,230723811044,1,0
600,230728911155,0,0
601,230734470245,0,0
602,230740124795,1,0
603,230745211707,1,0
604,230750235659,1,0
605,230755245462,1,0
606,230760248276,1,0
607,230765210491,1,0
608,230770303524,1,0
609,230775510657,0,0
610,230781739553,0,0
611,230787336735,1,0
612,230792582547,0,0
613,230798150893,0,0
614,230803772125,1,0
615,230808913376,1,0
616,230813933082,1,0
617,230818970458,0,0
618,230824698235,1,0
619,230829780144,1,0
620,230834836823,0,0
621,230840460775,0,0
622,230845923258,1,0
623,230850976897,1,0
624,230856030850,0,0
625,230861469041,0,0
626,230866883431,0,0
627,230872358537,0,0
628,230878032845,1,0
629,230883195082,1,0
630,230888228018,1,0
631,230893215840,1,0
632,230898215683,1,0
633,230903307382,1,0
634,230908387139,0,0
635,230913745436,1,0
636,230918808722,1,0
637,230923865843,0,0
638,230929424294,1,0
639,230934488100,0,0
640,230939951712,0,0
641,230945459334,1,0
642,230950466183,0,0
643,230955892747,0,0
644,230961284377,1,0
645,230966280505,0,0
646,230971889476,0,0
647,230977469456,1,0
648,230982567567,0,0
649,230988105258,0,0
650,230993663285,0,0
651,230999131819,0,0
652,231004619403,1,0
653,231009655615,1,0
654,231014732292,0,0
655,231020190573,0,0
656,231025759874,1,0
657,231030811624,0,0
658,231036287696,1,0
659,231041353444,0,0
660,231046839589,1,0
661,231051956510,0,0
662,231057389740,0,0
663,231062934397,0,0
664,231068251990,0,0
665,231073941047,1,0
666,231079024144,1,0
667,231084027666,0,0
668,231089608038,0,0
669,231095202054,1,0
670,231100256883,1,0
671,231105517881,0,0
672,231111203828,0,0
673,231116703727,0,0
674,231122208046,1,0
675,231127254697,0,0
676,231132751474,0,0
677,231138778272,0,0
678,231144617016,0,0
679,231150586654,0,0
680,231156019029,0,0
681,231161728893,0,0
682,231167587197,1,0
683,231172674824,1,0
684,231177759696,0,0
685,231183519336,1,0
686,231188793058,1,0
687,231193891713,1,0
688,231198936339,1,0
689,231204019475,0,0
690,231209718834,0,0
691,231215422599,0,0
692,231221037181,0,0
693,231226793100,0,0
694,231232708783,0,0
695,231238518778,1,0
696,231243641806,0,0
697,231249389703,1,0
698,231254559208,1,0
699,231259842815,0,0
700,231265522699,1,0
701,231270728069,1,0
702,231275787518,1,0
703,231280904735,1,0
704,231285930023,1,0
705,231290940589,0,0
706,231296424719,0,0
707,231301676362,1,0
708,231306722802,1,0
709,231311794900,1,0
710,231316884876,1,0
711,231321908009,0,0
712,231327671354,1,0
713,231332776507,0,0
714,231338369986,1,0
715,231343510732,0,0
716,231349125919,0,0
717,231354879694,1,0
718,231359960257,1,0
719,231365019072,1,0
720,231370044764,0,0
721,231375863025,0,0
722,231381557018,0,0
723,231387099492,1,0
724,231392523468,1,0
725,231397766247,0,0
726,231403434728,0,0
727,231409032013,0,0
728,231414427289,1,0
729,231419471583,1,0
730,231424490631,1,0
731,231429485364,1,0
732,231434732949,0,0
733,231440478568,0,0
734,231446104945,0,0
735,231451591280,1,0
736,231456818183,1,0
