trial_id,timestamp_ns,target_page,event,duration_ns,access_policy
1,660056075907,0,0,422339,constant
2,660127331889,0,1,451742,constant
3,660201798635,0,0,447338,constant
4,660273271967,0,1,483806,constant
5,660348237102,0,0,445309,constant
6,660425710378,0,0,399179,constant
7,660499055048,0,1,549896,constant
8,660577695552,0,0,517712,constant
9,660655539849,0,0,298107,constant
10,660726375999,0,1,461703,constant
11,660809637982,0,0,532865,constant
12,660885414219,0,0,824437,constant
13,660965246996,0,0,596636,constant
14,661038617563,0,1,530654,constant
15,661118140085,0,0,419649,constant
16,661197552961,0,0,454768,constant
17,661270773549,0,1,463385,constant
18,661348697247,0,1,458954,constant
19,661425034980,0,0,348189,constant
20,661501073319,0,1,550749,constant
21,661585302429,0,0,2361424,constant
22,661656918775,0,0,520313,constant
23,661728973982,0,1,495807,constant
24,661804163789,0,1,612154,constant
25,661878026707,0,1,348804,constant
26,661955211379,0,0,498349,constant
27,662028129971,0,1,673244,constant
28,662109659446,0,1,624020,constant
29,662182518127,0,1,628625,constant
30,662257312536,0,0,457179,constant
31,662332257016,0,1,460180,constant
32,662410654313,0,1,446341,constant
33,662482695548,0,1,400488,constant
34,662565223835,0,1,440058,constant
35,662641074584,0,1,469357,constant
36,662717582370,0,1,736008,constant
37,662799967268,0,0,430501,constant
38,662878577878,0,0,393471,constant
39,662961685681,0,1,480870,constant
40,663039110534,0,0,620588,constant
41,663116895690,0,0,703490,constant
42,663190201641,0,0,583387,constant
43,663267723873,0,1,546273,constant
44,663342907647,0,0,374411,constant
45,663420828847,0,0,472802,constant
46,663494153045,0,0,505307,constant
47,663571654509,0,0,408323,constant
48,663647658561,0,0,445788,constant
49,663719531336,0,1,510845,constant
50,663797398694,0,1,355325,constant
51,663871825892,0,1,458452,constant
52,663943127372,0,0,514378,constant
53,664018983764,0,0,642391,constant
54,664094145381,0,1,635375,constant
55,664165311126,0,0,670724,constant
56,664239528881,0,0,397467,constant
57,664315711229,0,0,405858,constant
58,664397675421,0,0,2128665,constant
59,664471390590,0,1,544003,constant
60,664551309907,0,1,639877,constant
61,664627627475,0,0,510626,constant
62,664699627252,0,0,525163,constant
63,664775630716,0,1,385703,constant
64,664855182847,0,1,409524,constant
65,664932111743,0,0,596761,constant
66,665006425447,0,0,529324,constant
67,665088307335,0,1,461780,constant
68,665165093322,0,0,612107,constant
69,665242025214,0,0,567794,constant
70,665319614852,0,1,574165,constant
71,665401931644,0,0,516236,constant
72,665480870534,0,0,533459,constant
