mode,state,trial,classify_ns,cleanup_ns,full_cycle_ns,polls,cleanup_ok
dontcache,miss,0,12793,145970,158763,676,1
dontcache,hit,0,379,1362,1741,0,1
dontcache,miss,1,3330,64539,67869,395,1
dontcache,hit,1,372,986,1358,0,1
dontcache,miss,2,2203,92032,94235,570,1
dontcache,hit,2,279,767,1046,0,1
dontcache,miss,3,2786,49081,51867,298,1
dontcache,hit,3,269,705,974,0,1
dontcache,miss,4,2336,21071,23407,92,1
dontcache,hit,4,274,667,941,0,1
dontcache,miss,5,2391,71704,74095,433,1
dontcache,hit,5,249,588,837,0,1
dontcache,miss,6,2313,66493,68806,402,1
dontcache,hit,6,345,836,1181,0,1
dontcache,miss,7,2469,64409,66878,388,1
dontcache,hit,7,295,692,987,0,1
dontcache,miss,8,2231,17480,19711,100,1
dontcache,hit,8,240,587,827,0,1
dontcache,miss,9,2353,11384,13737,63,1
dontcache,hit,9,246,565,811,0,1
dontcache,miss,10,2340,71628,73968,432,1
dontcache,hit,10,247,575,822,0,1
dontcache,miss,11,2402,62129,64531,374,1
dontcache,hit,11,256,572,828,0,1
dontcache,miss,12,2300,13292,15592,46,1
dontcache,hit,12,256,649,905,0,1
dontcache,miss,13,4659,11770,16429,65,1
dontcache,hit,13,261,579,840,0,1
dontcache,miss,14,2390,11689,14079,65,1
dontcache,hit,14,243,559,802,0,1
dontcache,miss,15,2551,15840,18391,77,1
dontcache,hit,15,246,550,796,0,1
dontcache,miss,16,2375,10700,13075,59,1
dontcache,hit,16,271,670,941,0,1
dontcache,miss,17,2585,13519,16104,49,1
dontcache,hit,17,259,572,831,0,1
dontcache,miss,18,2551,23243,25794,136,1
dontcache,hit,18,249,624,873,0,1
dontcache,miss,19,2650,68184,70834,399,1
dontcache,hit,19,241,563,804,0,1
dontcache,miss,20,2300,48706,51006,293,1
dontcache,hit,20,238,569,807,0,1
dontcache,miss,21,2341,48553,50894,254,1
dontcache,hit,21,238,553,791,0,1
dontcache,miss,22,2461,10681,13142,59,1
dontcache,hit,22,238,610,848,0,1
dontcache,miss,23,2867,47284,50151,283,1
dontcache,hit,23,336,793,1129,0,1
dontcache,miss,24,2388,11900,14288,66,1
dontcache,hit,24,238,604,842,0,1
dontcache,miss,25,2264,49345,51609,276,1
dontcache,hit,25,246,577,823,0,1
dontcache,miss,26,2346,11440,13786,62,1
dontcache,hit,26,242,569,811,0,1
dontcache,miss,27,2516,10810,13326,59,1
dontcache,hit,27,235,548,783,0,1
dontcache,miss,28,2287,10574,12861,58,1
dontcache,hit,28,292,795,1087,0,1
dontcache,miss,29,2496,11753,14249,65,1
dontcache,hit,29,238,584,822,0,1
dontcache,miss,30,2331,11797,14128,66,1
dontcache,hit,30,242,595,837,0,1
dontcache,miss,31,8226,14170,22396,38,1
dontcache,hit,31,344,1002,1346,0,1
dontcache,miss,32,8468,11556,20024,37,1
dontcache,hit,32,607,1015,1622,0,1
dontcache,miss,33,3722,10876,14598,37,1
dontcache,hit,33,374,892,1266,0,1
dontcache,miss,34,3284,45358,48642,122,1
dontcache,hit,34,458,998,1456,0,1
dontcache,miss,35,4858,11970,16828,42,1
dontcache,hit,35,521,1313,1834,0,1
dontcache,miss,36,4301,49433,53734,198,1
dontcache,hit,36,576,2110,2686,0,1
dontcache,miss,37,4775,12135,16910,41,1
dontcache,hit,37,553,1275,1828,0,1
