mode,state,trial,classify_ns,cleanup_ns,full_cycle_ns,polls,cleanup_ok
flush,miss,0,42421,149752,192173,179,1
flush,hit,0,1375,3908,5283,0,1
flush,miss,1,9305,69963,79268,123,1
flush,hit,1,1072,2483,3555,0,1
flush,miss,2,6993,45575,52568,78,1
flush,hit,2,1046,2829,3875,0,1
flush,miss,3,8788,85393,94181,154,1
flush,hit,3,861,2358,3219,0,1
flush,miss,4,7441,91526,98967,166,1
flush,hit,4,967,2337,3304,0,1
flush,miss,5,8300,59842,68142,62,1
flush,hit,5,784,1804,2588,0,1
flush,miss,6,9655,44530,54185,52,1
flush,hit,6,309,775,1084,0,1
flush,miss,7,4423,15468,19891,79,1
flush,hit,7,373,589,962,0,1
flush,miss,8,3196,42254,45450,210,1
flush,hit,8,254,536,790,0,1
flush,miss,9,2612,21736,24348,119,1
flush,hit,9,250,539,789,0,1
flush,miss,10,2678,51178,53856,305,1
flush,hit,10,259,525,784,0,1
flush,miss,11,3483,18081,21564,59,1
flush,hit,11,326,833,1159,0,1
flush,miss,12,3057,45681,48738,267,1
flush,hit,12,300,672,972,0,1
flush,miss,13,3382,20641,24023,115,1
flush,hit,13,249,537,786,0,1
flush,miss,14,2246,13435,15681,72,1
flush,hit,14,248,534,782,0,1
flush,miss,15,2492,11327,13819,59,1
flush,hit,15,247,529,776,0,1
flush,miss,16,2331,11755,14086,61,1
flush,hit,16,350,823,1173,0,1
flush,miss,17,2947,10892,13839,56,1
flush,hit,17,337,815,1152,0,1
flush,miss,18,2357,70375,72732,414,1
flush,hit,18,254,554,808,0,1
flush,miss,19,2384,14852,17236,80,1
flush,hit,19,258,539,797,0,1
flush,miss,20,2359,11330,13689,59,1
flush,hit,20,255,528,783,0,1
flush,miss,21,2654,11037,13691,57,1
flush,hit,21,249,538,787,0,1
flush,miss,22,2312,14970,17282,49,1
flush,hit,22,349,810,1159,0,1
flush,miss,23,2540,71309,73849,420,1
flush,hit,23,265,591,856,0,1
flush,miss,24,2454,11820,14274,62,1
flush,hit,24,253,541,794,0,1
flush,miss,25,2297,62486,64783,359,1
flush,hit,25,323,651,974,0,1
flush,miss,26,2226,13330,15556,73,1
flush,hit,26,253,514,767,0,1
flush,miss,27,2229,16412,18641,54,1
flush,hit,27,254,528,782,0,1
flush,miss,28,2512,14037,16549,48,1
flush,hit,28,267,592,859,0,1
flush,miss,29,2251,11326,13577,60,1
flush,hit,29,260,563,823,0,1
flush,miss,30,2386,63444,65830,302,1
flush,hit,30,287,552,839,0,1
