mode,kernel,interval_us,trial_id,event,prediction,flush_start_ns,flush_end_ns,event_start_ns,monitor_start_ns,cleanup_end_ns,baseline_check_start_ns,baseline_check_end_ns,baseline_cached,cleanup_cached,attacker_error,victim_error,validator_error
dontcache,7.2.0-flushmon,800,1,0,0,390079160837,390079171048,390081166363,390081990272,390082538345,390080157886,390080164437,0,0,0,0,0
dontcache,7.2.0-flushmon,800,2,1,1,390084975172,390084980969,390086925922,390087917908,390087988031,390085923416,390085935543,0,0,0,0,0
dontcache,7.2.0-flushmon,800,3,1,1,390090566532,390090570987,390092518449,390093328822,390093474657,390091526485,390091536821,0,0,0,0,0
dontcache,7.2.0-flushmon,800,4,1,1,390095950682,390095955122,390097661896,390098539620,390098682712,390096657262,390096667988,0,0,0,0,0
dontcache,7.2.0-flushmon,800,5,1,1,390101079635,390101083663,390102954294,390103778821,390103828098,390101950745,390101959331,0,0,0,0,0
dontcache,7.2.0-flushmon,800,6,1,1,390106162937,390106166399,390108071735,390108822872,390108868209,390107055964,390107064365,0,0,0,0,0
dontcache,7.2.0-flushmon,800,7,1,1,390111188371,390111191995,390113071374,390113869117,390113943444,390112168484,390112177501,0,0,0,0,0
dontcache,7.2.0-flushmon,800,8,1,1,390116335389,390116339585,390118306806,390119105169,390119329548,390117303661,390117317631,0,0,0,0,0
dontcache,7.2.0-flushmon,800,9,0,0,390121784771,390121789067,390123688823,390124505934,390124884252,390122666851,390122675857,0,0,0,0,0
dontcache,7.2.0-flushmon,800,10,0,0,390127449900,390127453236,390129446880,390130222063,390130577797,390128419745,390128424601,0,0,0,0,0
dontcache,7.2.0-flushmon,800,11,1,1,390132877711,390132881805,390134847300,390135614672,390135669685,390133939714,390133950892,0,0,0,0,0
dontcache,7.2.0-flushmon,800,12,1,1,390138039066,390138042846,390139926621,390140690459,390140743684,390138913603,390138923369,0,0,0,0,0
dontcache,7.2.0-flushmon,800,13,1,1,390143097796,390143102111,390145022832,390145908527,390145984879,390143980551,390143991305,0,0,0,0,0
dontcache,7.2.0-flushmon,800,14,0,0,390148531938,390148536214,390150495316,390151271609,390151686932,390149493198,390149503835,0,0,0,0,0
dontcache,7.2.0-flushmon,800,15,1,1,390154217242,390154222196,390156090843,390156927750,390157026961,390155229336,390155241916,0,0,0,0,0
dontcache,7.2.0-flushmon,800,16,0,0,390159520718,390159525125,390161512997,390162283908,390162565972,390160506062,390160516435,0,0,0,0,0
dontcache,7.2.0-flushmon,800,17,0,0,390165160283,390165166417,390166991304,390167780742,390168178701,390166166072,390166178103,0,0,0,0,0
dontcache,7.2.0-flushmon,800,18,1,1,390170752673,390170756282,390172659274,390173430730,390173592419,390171670705,390171679171,0,0,0,0,0
dontcache,7.2.0-flushmon,800,19,1,1,390175942594,390175946595,390177834939,390178602518,390178658543,390176828284,390176838001,0,0,0,0,0
dontcache,7.2.0-flushmon,800,20,0,0,390180946755,390180951195,390182924601,390183717856,390184102505,390182033899,390182045230,0,0,0,0,0
dontcache,7.2.0-flushmon,800,21,0,0,390186753061,390186757537,390188563560,390189336175,390189565110,390187560594,390187571313,0,0,0,0,0
dontcache,7.2.0-flushmon,800,22,0,0,390192031448,390192036158,390193997527,390194791791,390195287037,390193172052,390193183977,0,0,0,0,0
dontcache,7.2.0-flushmon,800,23,1,1,390197944693,390197949198,390199747209,390200529133,390200661606,390198748367,390198759239,0,0,0,0,0
dontcache,7.2.0-flushmon,800,24,0,0,390203013128,390203016538,390204934486,390205727261,390206113600,390203918611,390203926249,0,0,0,0,0
dontcache,7.2.0-flushmon,800,25,0,0,390208507049,390208511058,390210483025,390211252699,390211635845,390209476577,390209485988,0,0,0,0,0
dontcache,7.2.0-flushmon,800,26,0,0,390214170220,390214174402,390216085782,390216849155,390217155197,390215192857,390215204504,0,0,0,0,0
dontcache,7.2.0-flushmon,800,27,0,0,390219795585,390219800018,390221641954,390222448561,390222785709,390220630767,390220641590,0,0,0,0,0
dontcache,7.2.0-flushmon,800,28,0,0,390225403949,390225408503,390227178951,390228023539,390228348062,390226174874,390226185880,0,0,0,0,0
dontcache,7.2.0-flushmon,800,29,1,1,390230831055,390230834831,390232711256,390233589879,390233651112,390231811421,390231820478,0,0,0,0,0
dontcache,7.2.0-flushmon,800,30,1,1,390235903895,390235907205,390237880114,390238703834,390238748126,390236882743,390236890347,0,0,0,0,0
dontcache,7.2.0-flushmon,800,31,1,1,390241093788,390241098037,390242970006,390243737532,390243815968,390242101126,390242111846,0,0,0,0,0
dontcache,7.2.0-flushmon,800,32,1,1,390246094894,390246099417,390248071771,390248879401,390249026528,390247415339,390247426780,0,0,0,0,0
dontcache,7.2.0-flushmon,800,33,0,0,390251324653,390251328714,390253289909,390254074219,390254407862,390252285766,390252294665,0,0,0,0,0
dontcache,7.2.0-flushmon,800,34,1,1,390256978677,390256983041,390258880897,390259715126,390259794435,390257970185,390257981670,0,0,0,0,0
